dummy,CAZ,CHA,EUR,IND,LAM,MEA,NEU,OAS,REF,SSA,USA
y1995,1.0385,1.203,1.6029,0.9069,1.0312,0.7731,0.9735,0.879,0.8,0.6801,1.2633
y2000,1.1616,1.3352,1.7101,0.9618,1.1131,0.9014,1.0255,0.9354,0.8,0.709,1.3879
y2005,1.1616,1.482,1.7628,1.0097,1.2127,1.1854,1.1315,1.0032,0.929,0.777,1.4937
y2010,1.2289,1.7619,1.8024,1.1329,1.321,1.1962,1.1861,1.051,0.929,0.8268,1.5443
y2015,1.3705,1.9445,1.9872,1.2401,1.3879,1.3812,1.3037,1.1273,0.9742,0.8618,1.7057
y2020,1.471,2.1241,2.1658,1.3209,1.4448,1.6184,1.4022,1.1915,1.002,0.905,1.8188
y2025,1.5433,2.2042,2.2958,1.4429,1.491,1.8794,1.5152,1.2772,1.0774,0.9465,1.8662
y2030,1.5876,2.2719,2.4389,1.5895,1.5537,2.1749,1.6091,1.3486,1.16,1.0011,1.9255
y2035,1.6284,2.3423,2.5398,1.7346,1.6149,2.4709,1.7055,1.442,1.2027,1.0773,1.9878
y2040,1.6748,2.4389,2.6543,1.9639,1.6599,2.7359,1.7775,1.5538,1.2478,1.1609,2.0261
y2045,1.7276,2.4805,2.757,2.1483,1.7015,2.9416,1.8277,1.6621,1.2871,1.2371,2.0536
y2050,1.775,2.509,2.8555,2.3638,1.7358,3.1758,1.8635,1.7209,1.3492,1.3301,2.0759
y2055,1.7909,2.509,2.9584,2.5274,1.7672,3.3578,1.9083,1.7711,1.3623,1.4272,2.1049
y2060,1.8172,2.509,3.0508,2.6741,1.7858,3.5261,1.926,1.8314,1.3652,1.5355,2.1457
y2070,1.8937,2.509,3.1082,2.8621,1.7858,3.7375,1.9406,1.8749,1.3688,1.7021,2.1906
y2080,1.9529,2.509,3.1613,3.0819,1.7858,3.8237,1.9406,1.9385,1.3695,1.8176,2.2132
y2090,1.9689,2.509,3.1851,3.2692,1.7858,3.8243,1.9406,1.9596,1.3695,1.8759,2.2449
y2100,1.9804,2.509,3.1851,3.3214,1.7858,3.8624,1.9406,1.9596,1.3695,1.8906,2.2538
